r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
1,0,47,"[0.33, 0.47, 0.01, 0.43]","[0.69, 0.64, 0.99, 0.52]",0.47,0.52,False,,,,,
1,0,48,"[0.33, 0.31, 0.52, 0.43]","[0.69, 0.5, 0.47, 0.52]",0.52,0.47,False,,,,,
1,0,49,"[0.33, 0.49, 0.47, 0.43]","[0.69, 0.65, 0.52, 0.52]",0.52,0.47,False,,,,,
2,0,0,"[0.0, 0.49, None, 0.98]","[1.0, 0.31, None, 0.1]",,,True,0.54,0.44,0.44,B3,S3
2,0,1,"[0.1, 0.48, None, 0.86]","[0.9, 0.13, None, 0.1]",,,True,0.48,0.38,0.38,B3,S3
2,0,2,"[0.19, 0.06, None, 0.77]","[0.81, 0.44, None, 0.25]",,,True,0.51,0.26,0.26,B3,S3
2,0,3,"[0.29, 0.21, None, 0.71]","[0.71, 0.07, None, 0.28]",,,True,0.39,0.32,0.33,B3,S1
2,0,4,"[0.38, 0.37, None, 0.71]","[0.62, 0.37, None, 0.28]",,,True,0.5,0.21,0.21,B3,S3
2,0,5,"[0.48, 0.4, None, 0.62]","[0.52, 0.97, None, 0.3]",,,True,0.46,0.16,0.16,B3,S3
2,0,6,"[0.57, 0.26, None, 0.61]","[0.43, 0.29, None, 0.37]",,,True,0.45,0.16,0.17,B3,S1
2,0,7,"[0.67, 0.58, None, 0.46]","[0.33, 0.4, None, 0.37]",,,True,0.5,0.45,0.45,B0,S0
2,0,8,"[0.74, 0.39, None, 0.46]","[0.3, 0.7, None, 0.37]",,,True,0.52,0.41,0.4,B0,S0
2,0,9,"[0.72, 0.04, None, 0.46]","[0.27, 0.75, None, 0.37]",,,True,0.49,0.31,0.31,B0,S0
2,0,10,"[0.79, 0.43, None, 0.46]","[0.24, 0.35, None, 0.37]",,,True,0.51,0.27,0.27,B0,S0
2,0,11,"[0.77, 0.31, None, 0.46]","[0.26, 0.93, None, 0.37]",,,True,0.51,0.25,0.25,B0,S0
2,0,12,"[0.61, 0.02, None, 0.46]","[0.34, 0.3, None, 0.37]",,,True,0.45,0.16,0.17,B0,S1
