round,eq_q,eq_p,eq_surplus,actual_trades,actual_total_profit,market_efficiency,avg_price,abs_diff_price,abs_diff_quantity
40,48,0.5787374401236359,21.36354681229814,50,21.227248474527315,0.9936200510632268,0.5378712989007091,0.040866141222926866,2
41,51,0.43551337124316375,24.839933546320406,50,24.400376987719124,0.9823044390283244,0.48265466457920503,0.04714129333604128,1
42,52,0.5151056509607834,27.26666443920884,51,27.10690750922374,0.9941409434094413,0.4936746166581833,0.021431034302600127,1
43,53,0.46766807824101503,26.01899242804368,54,25.975729773829237,0.9983372663513359,0.4811801826165653,0.013512104375550282,1
44,47,0.4421753803744288,22.252774295350445,47,22.02858407275696,0.9899252911291907,0.4911810365848297,0.04900565621040093,0
45,49,0.4660629603727726,23.7804127682559,50,23.757880811311548,0.9990524993336353,0.4969006628310194,0.030837702458246796,1
46,55,0.5051858206471296,26.768242590685432,54,26.72808496400185,0.9984998033939833,0.4889522959038792,0.016233524743250405,1
47,51,0.5215298155160663,26.79727259349331,51,26.79727259349331,1.0,0.4969272348245919,0.024602580691474363,0
48,45,0.44865054366166396,22.43362885435209,46,22.389263246385582,0.9980223615067118,0.4713259468256654,0.022675403164001462,1
49,48,0.47067105052484665,23.71959779813275,48,23.59588574758157,0.9947843950979254,0.4796099007586736,0.008938850233826956,0
50,51,0.6059113946285414,25.529468893368545,51,25.51668250955175,0.9994991519850961,0.573818293858941,0.03209310076960037,0
51,49,0.5055845858701793,23.220803107985056,48,23.154103345467874,0.9971275858889547,0.4938160242454715,0.011768561624707796,1
52,47,0.5155540071657629,23.35345209033053,47,23.281387328843884,0.996914170923943,0.5069736948065605,0.008580312359202424,0
53,51,0.5304984373816255,22.63187455364114,52,22.616951909564577,0.9993406359671536,0.5339843851061096,0.003485947724484073,1
54,47,0.48367834694872963,21.903295902038384,50,21.761618093063014,0.9935316671240247,0.49792893129307203,0.014250584344342399,3
55,49,0.5148931425196528,25.040821852723877,51,24.946000525389763,0.9962133300619365,0.4875073612472764,0.027385781272376397,2
56,59,0.4825752705503728,28.961231311628183,60,28.88114501031425,0.9972347066168497,0.4859216355346108,0.003346364984238015,1
57,50,0.5071709626604661,25.72912356091833,50,25.673720972917966,0.9978466974256162,0.516424857390539,0.009253894730072876,0
58,48,0.4805735548200029,21.79038090370114,49,21.6803392540673,0.9949499896252317,0.483372844381734,0.0027992895617310887,1
59,49,0.4700643661509896,26.38446334390286,49,26.12144392645417,0.9900312765880277,0.48697414931644994,0.016909783165460324,0
60,53,0.41574613035483926,26.389604951644593,54,26.323650193036144,0.9975007295967748,0.43296746635435235,0.017221335999513088,1
61,57,0.4733244841986862,28.81112020616643,58,28.77632165565131,0.9987921833560754,0.48824835666243765,0.01492387246375143,1
62,47,0.52925257176727,22.276942632147826,47,22.253819420204827,0.9989620114247801,0.5124921239625586,0.01676044780471142,0
63,49,0.5192683940941047,23.950238827177312,49,23.941348793060328,0.9996288122978174,0.5163966221238346,0.0028717719702701094,0
64,56,0.46382561739583944,28.2296311156147,58,28.1800591415291,0.9982439737209963,0.47927245315110667,0.01544683575526723,2
65,50,0.49495343664126434,25.913934813966236,52,25.868205608219313,0.9982353430277876,0.4929886695726171,0.001964767068647233,2
66,56,0.5513936260876668,28.310117293560538,55,28.207899109293496,0.9963893408421062,0.5414560803128194,0.0099375457748474,1
67,49,0.49541377987388174,26.60894889006242,50,26.561278401569965,0.9982084790838823,0.4587647903716841,0.03664898950219764,1
68,54,0.499149456259499,27.652504180775317,55,27.577350293687083,0.9972822032103522,0.5016332910081818,0.002483834748682745,1
69,54,0.5155202290400935,28.389673086711433,54,28.295609410814695,0.996686693939397,0.4865371468365903,0.028983082203503263,0
70,52,0.45942426035523404,27.32530849422547,52,27.32530849422546,0.9999999999999996,0.47923179551118117,0.01980753515594713,0
71,49,0.4549318894281851,24.94641909745586,48,24.30766102976954,0.9743947993020184,0.46800756485145073,0.013075675423265654,1
72,50,0.5219059916854267,26.02194914992806,49,25.610225192039984,0.9841778202118571,0.5100257128180158,0.011880278867410943,1
73,52,0.4869137208501196,27.04430382033277,53,27.016190823725378,0.9989604836273782,0.5164692735134484,0.02955555266332882,1
74,53,0.5374317713684766,27.674835887863416,55,27.558535654652456,0.9957976179630404,0.50723074049637,0.030201030872106682,2
75,58,0.4710393511437854,30.276534128375047,59,30.221982036552852,0.9981982055280538,0.48213241179756594,0.011093060653780518,1
76,50,0.5471195088444649,24.315898483292074,51,24.244996429951833,0.9970841277615565,0.5235787807085948,0.02354072813587016,1
77,52,0.4636579046245454,24.43720836378923,52,24.22531994019009,0.991329270494206,0.49350868802174325,0.029850783397197822,0
78,51,0.49214883818889255,26.467720563522736,52,26.433899503390897,0.9987221770741206,0.5004545631403439,0.008305724951451321,1
79,50,0.4746219842267717,23.295359190223657,51,23.26015084362112,0.9984886111300094,0.45555805370479974,0.019063930521971972,1
80,49,0.4872144151371794,24.795300991915838,51,24.65840973933685,0.9944791453580814,0.4930793449511408,0.005864929813961417,2
81,45,0.5026533355765278,21.38176734308493,47,21.23552811106191,0.9931605638731115,0.48140068768877914,0.021252647887748666,2
82,50,0.550757122601041,21.698678771554953,50,21.526269111139232,0.9920543705803077,0.5415774775545562,0.00917964504648483,0
83,48,0.5155578283698949,24.49829127936701,42,23.048834826726598,0.9408343857083137,0.5123545503276742,0.0032032780422207585,6
84,49,0.5176706252748293,23.936020076590175,49,23.906010550814113,0.9987462608370131,0.527319348114414,0.009648722839584734,0
85,50,0.45050042196201395,24.26086419673287,50,24.01256503962832,0.9897654446646633,0.4621701332386439,0.011669711276629968,0
86,44,0.5113356528747282,20.418432540358015,44,20.221238265274692,0.9903423402019935,0.527213462645925,0.015877809771196794,0
87,52,0.5360270879180768,26.11447466821699,50,25.836793438691743,0.9893667694620255,0.5003176904804953,0.0357093974375815,2
88,54,0.478883260654325,27.44095775473365,55,27.426697988995613,0.9994803473746985,0.4874384099629446,0.008555149308619558,1
89,46,0.5199965998204219,22.51798544610898,47,22.502644627220306,0.9993187304021761,0.5264053393386953,0.006408739518273365,1
90,51,0.5327521047355723,25.735727212519933,52,25.708547938889602,0.9989439088545705,0.5109562635338759,0.02179584120169642,1
91,53,0.4806844247912883,28.463239819520513,53,28.460799182291673,0.9999142530068849,0.466077181155133,0.014607243636155287,0
92,44,0.5196259518911706,20.845128140017668,45,20.788671273898416,0.9972916037867444,0.5316832576806805,0.01205730578950992,1
93,48,0.5225077182154854,23.894956837272847,49,23.854561595745743,0.9983094658089487,0.5177652846742252,0.004742433541260138,1
94,55,0.49918001199458334,26.789727457917962,55,26.76498979767925,0.9990765990330596,0.5031081181851503,0.003928106190566993,0
95,52,0.5482127586764998,24.338155803522024,52,24.064404572396125,0.9887521785407305,0.5360819342845766,0.012130824391923145,0
96,52,0.50378475921392,27.417130096227908,52,27.40112805591806,0.99941634882084,0.49672838938465164,0.0070563698292683275,0
97,54,0.49180882576834745,26.068496155629617,55,25.970110429100792,0.9962258764010988,0.5083160257681553,0.01650719999980782,1
98,50,0.5577315184592959,25.99925589936719,51,25.940895858838747,0.997755318815495,0.5401440662179223,0.01758745224137359,1
99,52,0.4874115459344118,25.99281184112553,52,25.877359692624907,0.9955583047649368,0.48817730987123975,0.0007657639368279234,0
