r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
2,0,36,"[0.24, 0.13, 0.01, 0.21]","[0.49, 0.56, 0.99, 0.66]",0.38,0.46,False,,,,,
2,0,37,"[0.24, 0.14, 0.01, 0.21]","[0.49, 0.92, 0.99, 0.66]",0.38,0.46,False,,,,,
2,0,38,"[0.24, 0.22, 0.01, 0.21]","[0.49, 0.44, 0.99, 0.66]",0.38,0.44,False,,,,,
2,0,39,"[0.24, 0.28, 0.01, 0.21]","[0.49, 0.53, 0.99, 0.66]",0.38,0.44,False,,,,,
2,0,40,"[0.24, 0.08, 0.01, 0.21]","[0.49, 0.57, 0.99, 0.66]",0.38,0.44,False,,,,,
2,0,41,"[0.24, 0.39, 0.01, 0.21]","[0.49, 0.7, 0.99, 0.66]",,,True,0.42,0.02,0.03,B1,S1
2,0,42,"[0.24, 0.02, None, 0.21]","[0.49, 0.57, None, 0.66]",0.24,0.49,False,,,,,
2,0,43,"[0.24, 0.22, 0.01, 0.21]","[0.49, 0.5, 0.99, 0.66]",0.24,0.49,False,,,,,
2,0,44,"[0.24, 0.01, 0.01, 0.21]","[0.49, 0.95, 0.99, 0.66]",0.24,0.49,False,,,,,
2,0,45,"[0.24, 0.02, 0.01, 0.21]","[0.49, 0.74, 0.99, 0.66]",0.24,0.49,False,,,,,
2,0,46,"[0.24, 0.03, 0.01, 0.21]","[0.49, 0.95, 0.99, 0.66]",0.24,0.49,False,,,,,
2,0,47,"[0.24, 0.1, 0.01, 0.21]","[0.49, 0.5, 0.99, 0.66]",0.24,0.49,False,,,,,
2,0,48,"[0.24, 0.11, 0.49, 0.21]","[0.49, 0.86, 0.24, 0.66]",,,True,0.37,0.13,0.03,B2,S2
2,0,49,"[0.24, 0.12, None, 0.21]","[0.49, 0.98, None, 0.66]",0.24,0.49,False,,,,,
3,0,0,"[0.0, 0.22, None, 0.95]","[1.0, 0.17, None, 0.06]",,,True,0.51,0.45,0.45,B3,S3
3,0,1,"[0.09, 0.08, None, 0.91]","[0.9, 0.81, None, 0.08]",,,True,0.5,0.42,0.42,B3,S3
3,0,2,"[0.19, 0.56, None, 0.87]","[0.8, 0.76, None, 0.26]",,,True,0.56,0.3,0.3,B3,S3
3,0,3,"[0.28, 0.02, None, 0.66]","[0.7, 0.44, None, 0.3]",,,True,0.48,0.18,0.18,B3,S3
3,0,4,"[0.38, 0.44, None, 0.35]","[0.6, 0.74, None, 0.38]",,,True,0.41,0.44,0.03,B1,S3
3,0,5,"[0.47, 0.59, None, 0.35]","[0.5, 0.51, None, 0.41]",,,True,0.5,0.34,0.09,B1,S3
3,0,6,"[0.57, 0.29, None, 0.35]","[0.4, 0.3, None, 0.46]",,,True,0.43,0.51,0.43,B0,S1
3,0,7,"[0.63, 0.65, None, 0.35]","[0.3, 0.87, None, 0.46]",,,True,0.48,0.22,0.48,B1,S0
